A = 8726, B = 66, C = 694
A =       8726, B =         66, C =        694
A = 0000008726, B = 0000000066, C = 0000000694
A = 8726      , B = 66        , C = 694       
A = 1791, B = 29, C = 899
A =       1791, B =         29, C =        899
A = 0000001791, B = 0000000029, C = 0000000899
A = 1791      , B = 29        , C = 899       
A = -7462, B = 23, C = 77
A =      -7462, B =         23, C =         77
A = -000007462, B = 0000000023, C = 0000000077
A = -7462     , B = 23        , C = 77        
A = -2657, B = 71, C = 261
A =      -2657, B =         71, C =        261
A = -000002657, B = 0000000071, C = 0000000261
A = -2657     , B = 71        , C = 261       
A = 41, B = 84, C = 796
A =         41, B =         84, C =        796
A = 0000000041, B = 0000000084, C = 0000000796
A = 41        , B = 84        , C = 796       
A = 1732, B = 57, C = 830
A =       1732, B =         57, C =        830
A = 0000001732, B = 0000000057, C = 0000000830
A = 1732      , B = 57        , C = 830       
A = -9892, B = 57, C = 755
A =      -9892, B =         57, C =        755
A = -000009892, B = 0000000057, C = 0000000755
A = -9892     , B = 57        , C = 755       
A = 9051, B = 38, C = 806
A =       9051, B =         38, C =        806
A = 0000009051, B = 0000000038, C = 0000000806
A = 9051      , B = 38        , C = 806       
A = 5349, B = 82, C = 705
A =       5349, B =         82, C =        705
A = 0000005349, B = 0000000082, C = 0000000705
A = 5349      , B = 82        , C = 705       
A = 127, B = 25, C = 993
A =        127, B =         25, C =        993
A = 0000000127, B = 0000000025, C = 0000000993
A = 127       , B = 25        , C = 993       
A = 1963, B = 69, C = 659
A =       1963, B =         69, C =        659
A = 0000001963, B = 0000000069, C = 0000000659
A = 1963      , B = 69        , C = 659       
A = -88, B = 91, C = 176
A =        -88, B =         91, C =        176
A = -000000088, B = 0000000091, C = 0000000176
A = -88       , B = 91        , C = 176       
A = -5023, B = 6, C = 686
A =      -5023, B =          6, C =        686
A = -000005023, B = 0000000006, C = 0000000686
A = -5023     , B = 6         , C = 686       
A = 7480, B = 64, C = 64
A =       7480, B =         64, C =         64
A = 0000007480, B = 0000000064, C = 0000000064
A = 7480      , B = 64        , C = 64        
A = 5470, B = 98, C = 412
A =       5470, B =         98, C =        412
A = 0000005470, B = 0000000098, C = 0000000412
A = 5470      , B = 98        , C = 412       
A = 5558, B = 13, C = 963
A =       5558, B =         13, C =        963
A = 0000005558, B = 0000000013, C = 0000000963
A = 5558      , B = 13        , C = 963       
A = -191, B = 30, C = 652
A =       -191, B =         30, C =        652
A = -000000191, B = 0000000030, C = 0000000652
A = -191      , B = 30        , C = 652       
A = -391, B = 91, C = 313
A =       -391, B =         91, C =        313
A = -000000391, B = 0000000091, C = 0000000313
A = -391      , B = 91        , C = 313       
A = 8077, B = 15, C = 421
A =       8077, B =         15, C =        421
A = 0000008077, B = 0000000015, C = 0000000421
A = 8077      , B = 15        , C = 421       
A = -5121, B = 83, C = 816
A =      -5121, B =         83, C =        816
A = -000005121, B = 0000000083, C = 0000000816
A = -5121     , B = 83        , C = 816       
A = -3650, B = 39, C = 806
A =      -3650, B =         39, C =        806
A = -000003650, B = 0000000039, C = 0000000806
A = -3650     , B = 39        , C = 806       
A = 9040, B = 34, C = 731
A =       9040, B =         34, C =        731
A = 0000009040, B = 0000000034, C = 0000000731
A = 9040      , B = 34        , C = 731       
A = -601, B = 73, C = 368
A =       -601, B =         73, C =        368
A = -000000601, B = 0000000073, C = 0000000368
A = -601      , B = 73        , C = 368       
A = -1294, B = 10, C = 407
A =      -1294, B =         10, C =        407
A = -000001294, B = 0000000010, C = 0000000407
A = -1294     , B = 10        , C = 407       
A = 3672, B = 51, C = 667
A =       3672, B =         51, C =        667
A = 0000003672, B = 0000000051, C = 0000000667
A = 3672      , B = 51        , C = 667       
A = 3782, B = 2, C = 31
A =       3782, B =          2, C =         31
A = 0000003782, B = 0000000002, C = 0000000031
A = 3782      , B = 2         , C = 31        
A = 1350, B = 8, C = 533
A =       1350, B =          8, C =        533
A = 0000001350, B = 0000000008, C = 0000000533
A = 1350      , B = 8         , C = 533       
A = 5568, B = 31, C = 157
A =       5568, B =         31, C =        157
A = 0000005568, B = 0000000031, C = 0000000157
A = 5568      , B = 31        , C = 157       
A = 3515, B = 81, C = 530
A =       3515, B =         81, C =        530
A = 0000003515, B = 0000000081, C = 0000000530
A = 3515      , B = 81        , C = 530       
A = -460, B = 46, C = 504
A =       -460, B =         46, C =        504
A = -000000460, B = 0000000046, C = 0000000504
A = -460      , B = 46        , C = 504       
A = -3131, B = 7, C = 365
A =      -3131, B =          7, C =        365
A = -000003131, B = 0000000007, C = 0000000365
A = -3131     , B = 7         , C = 365       
A = 4530, B = 31, C = 4
A =       4530, B =         31, C =          4
A = 0000004530, B = 0000000031, C = 0000000004
A = 4530      , B = 31        , C = 4         
A = 472, B = 65, C = 545
A =        472, B =         65, C =        545
A = 0000000472, B = 0000000065, C = 0000000545
A = 472       , B = 65        , C = 545       
A = -5609, B = 22, C = 328
A =      -5609, B =         22, C =        328
A = -000005609, B = 0000000022, C = 0000000328
A = -5609     , B = 22        , C = 328       
A = -8038, B = 74, C = 39
A =      -8038, B =         74, C =         39
A = -000008038, B = 0000000074, C = 0000000039
A = -8038     , B = 74        , C = 39        
A = 9311, B = 37, C = 716
A =       9311, B =         37, C =        716
A = 0000009311, B = 0000000037, C = 0000000716
A = 9311      , B = 37        , C = 716       
A = 2459, B = 43, C = 882
A =       2459, B =         43, C =        882
A = 0000002459, B = 0000000043, C = 0000000882
A = 2459      , B = 43        , C = 882       
A = 8183, B = 6, C = 515
A =       8183, B =          6, C =        515
A = 0000008183, B = 0000000006, C = 0000000515
A = 8183      , B = 6         , C = 515       
A = 710, B = 60, C = 632
A =        710, B =         60, C =        632
A = 0000000710, B = 0000000060, C = 0000000632
A = 710       , B = 60        , C = 632       
A = 7780, B = 98, C = 908
A =       7780, B =         98, C =        908
A = 0000007780, B = 0000000098, C = 0000000908
A = 7780      , B = 98        , C = 908       
A = -6967, B = 34, C = 684
A =      -6967, B =         34, C =        684
A = -000006967, B = 0000000034, C = 0000000684
A = -6967     , B = 34        , C = 684       
A = -8231, B = 34, C = 51
A =      -8231, B =         34, C =         51
A = -000008231, B = 0000000034, C = 0000000051
A = -8231     , B = 34        , C = 51        
A = 6466, B = 94, C = 448
A =       6466, B =         94, C =        448
A = 0000006466, B = 0000000094, C = 0000000448
A = 6466      , B = 94        , C = 448       
A = -7659, B = 99, C = 656
A =      -7659, B =         99, C =        656
A = -000007659, B = 0000000099, C = 0000000656
A = -7659     , B = 99        , C = 656       
A = 9800, B = 24, C = 403
A =       9800, B =         24, C =        403
A = 0000009800, B = 0000000024, C = 0000000403
A = 9800      , B = 24        , C = 403       
A = -549, B = 19, C = 795
A =       -549, B =         19, C =        795
A = -000000549, B = 0000000019, C = 0000000795
A = -549      , B = 19        , C = 795       
A = 2562, B = 51, C = 40
A =       2562, B =         51, C =         40
A = 0000002562, B = 0000000051, C = 0000000040
A = 2562      , B = 51        , C = 40        
A = 6315, B = 57, C = 824
A =       6315, B =         57, C =        824
A = 0000006315, B = 0000000057, C = 0000000824
A = 6315      , B = 57        , C = 824       
A = 4956, B = 47, C = 164
A =       4956, B =         47, C =        164
A = 0000004956, B = 0000000047, C = 0000000164
A = 4956      , B = 47        , C = 164       
A = 3441, B = 94, C = 910
A =       3441, B =         94, C =        910
A = 0000003441, B = 0000000094, C = 0000000910
A = 3441      , B = 94        , C = 910       
A = -2961, B = 6, C = 814
A =      -2961, B =          6, C =        814
A = -000002961, B = 0000000006, C = 0000000814
A = -2961     , B = 6         , C = 814       
A = -6261, B = 25, C = 81
A =      -6261, B =         25, C =         81
A = -000006261, B = 0000000025, C = 0000000081
A = -6261     , B = 25        , C = 81        
A = -207, B = 34, C = 944
A =       -207, B =         34, C =        944
A = -000000207, B = 0000000034, C = 0000000944
A = -207      , B = 34        , C = 944       
A = -3099, B = 71, C = 907
A =      -3099, B =         71, C =        907
A = -000003099, B = 0000000071, C = 0000000907
A = -3099     , B = 71        , C = 907       
A = -7161, B = 29, C = 320
A =      -7161, B =         29, C =        320
A = -000007161, B = 0000000029, C = 0000000320
A = -7161     , B = 29        , C = 320       
