A = 1, B = 8, C = h
A = 8, B = h, C = 1
A = h, B = 1, C = 8
A = c, B = l, C = 6
A = l, B = 6, C = c
A = 6, B = c, C = l
A = z, B = g, C = 2
A = g, B = 2, C = z
A = 2, B = z, C = g
A = q, B = c, C = p
A = c, B = p, C = q
A = p, B = q, C = c
A = 5, B = g, C = 2
A = g, B = 2, C = 5
A = 2, B = 5, C = g
A = g, B = 3, C = w
A = 3, B = w, C = g
A = w, B = g, C = 3
A = q, B = d, C = 0
A = d, B = 0, C = q
A = 0, B = q, C = d
A = b, B = r, C = z
A = r, B = z, C = b
A = z, B = b, C = r
A = 7, B = k, C = e
A = k, B = e, C = 7
A = e, B = 7, C = k
A = b, B = k, C = r
A = k, B = r, C = b
A = r, B = b, C = k
A = n, B = m, C = 4
A = m, B = 4, C = n
A = 4, B = n, C = m
A = q, B = g, C = f
A = g, B = f, C = q
A = f, B = q, C = g
A = 0, B = r, C = j
A = r, B = j, C = 0
A = j, B = 0, C = r
A = 5, B = 3, C = 7
A = 3, B = 7, C = 5
A = 7, B = 5, C = 3
A = c, B = 6, C = 4
A = 6, B = 4, C = c
A = 4, B = c, C = 6
A = f, B = z, C = 9
A = z, B = 9, C = f
A = 9, B = f, C = z
A = m, B = n, C = e
A = n, B = e, C = m
A = e, B = m, C = n
A = a, B = m, C = 8
A = m, B = 8, C = a
A = 8, B = a, C = m
A = 7, B = 5, C = 3
A = 5, B = 3, C = 7
A = 3, B = 7, C = 5
A = i, B = q, C = 4
A = q, B = 4, C = i
A = 4, B = i, C = q
A = c, B = 4, C = 8
A = 4, B = 8, C = c
A = 8, B = c, C = 4
A = w, B = 4, C = i
A = 4, B = i, C = w
A = i, B = w, C = 4
A = t, B = b, C = z
A = b, B = z, C = t
A = z, B = t, C = b
A = l, B = 4, C = b
A = 4, B = b, C = l
A = b, B = l, C = 4
A = q, B = s, C = w
A = s, B = w, C = q
A = w, B = q, C = s
A = y, B = m, C = j
A = m, B = j, C = y
A = j, B = y, C = m
A = n, B = 0, C = 1
A = 0, B = 1, C = n
A = 1, B = n, C = 0
A = 1, B = i, C = 9
A = i, B = 9, C = 1
A = 9, B = 1, C = i
A = l, B = 2, C = w
A = 2, B = w, C = l
A = w, B = l, C = 2
A = i, B = s, C = v
A = s, B = v, C = i
A = v, B = i, C = s
A = 3, B = h, C = m
A = h, B = m, C = 3
A = m, B = 3, C = h
A = k, B = x, C = w
A = x, B = w, C = k
A = w, B = k, C = x
A = x, B = c, C = e
A = c, B = e, C = x
A = e, B = x, C = c
A = e, B = u, C = 6
A = u, B = 6, C = e
A = 6, B = e, C = u
A = o, B = h, C = p
A = h, B = p, C = o
A = p, B = o, C = h
A = m, B = l, C = p
